Port Name,State,Port Code,Border,Date,Measure,Value,Location
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Trucks,34447,POINT (-115.48433000000001 32.67524)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Rail Containers Full,428,POINT (-67.94271 47.16207)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Trucks,81217,POINT (-117.05333 32.57333)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Trains,62,POINT (-110.93361 31.340279999999996)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,16377,POINT (-73.44253 44.990010000000005)
Madawaska,Maine,109,US-Canada Border,3/1/2019 0:00,Trucks,179,POINT (-68.3271 47.35446)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Trucks,24759,POINT (-73.44694 44.98639)
Opheim,Montana,3317,US-Canada Border,3/1/2019 0:00,Personal Vehicles,235,POINT (-106.40265 48.85574)
Lancaster,Minnesota,3430,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1612,POINT (-96.82024 48.84911000000001)
Wildhorse,Montana,3323,US-Canada Border,3/1/2019 0:00,Truck Containers Full,122,POINT (-109.67761 48.54863)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Pedestrians,3,POINT (-67.42955 45.55984)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Bus Passengers,7779,POINT (-117.02666999999998 32.54306)
Scobey,Montana,3309,US-Canada Border,3/1/2019 0:00,Personal Vehicles,325,POINT (-105.44272 48.80707)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Train Passengers,30,POINT (-67.27917 45.18889)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Truck Containers Full,1489,POINT (-74.74 44.98944)
Tecate,California,2505,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,1993,POINT (-116.62667 32.57722)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Trains,101,POINT (-116.18027999999998 48.99944)
Calais,Maine,115,US-Canada Border,3/1/2019 0:00,Trains,15,POINT (-67.27917 45.18889)
Naco,Arizona,2603,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,139,POINT (-109.9475 31.335280000000004)
Raymond,Montana,3301,US-Canada Border,3/1/2019 0:00,Buses,1,POINT (-104.575 48.99667)
Porthill,Idaho,3308,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,282,POINT (-116.49828 48.99282)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,769,POINT (-84.29889 46.47028)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,573597,POINT (-117.05333 32.57333)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Pedestrians,200,POINT (-116.18027999999998 48.99944)
Sasabe,Arizona,2606,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,4658,POINT (-111.54139 31.48861)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Truck Containers Full,3362,POINT (-84.29889 46.47028)
Madawaska,Maine,109,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,44387,POINT (-68.3271 47.35446)
Sasabe,Arizona,2606,US-Mexico Border,3/1/2019 0:00,Pedestrians,23,POINT (-111.54139 31.48861)
Del Bonita,Montana,3322,US-Canada Border,3/1/2019 0:00,Truck Containers Full,39,POINT (-112.32481 48.63274)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1476,POINT (-67.42955 45.55984)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Truck Containers Full,5778,POINT (-67.84083 46.12611)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Bus Passengers,669,POINT (-67.84083 46.12611)
Houlton,Maine,106,US-Canada Border,3/1/2019 0:00,Personal Vehicles,15491,POINT (-67.84083 46.12611)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Personal Vehicles,48965,POINT (-84.29889 46.47028)
Fort Fairfield,Maine,107,US-Canada Border,3/1/2019 0:00,Personal Vehicles,7165,POINT (-67.82965 46.76891)
Van Buren,Maine,108,US-Canada Border,3/1/2019 0:00,Personal Vehicles,11095,POINT (-67.94271 47.16207)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,491,POINT (-74.74 44.98944)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Trucks,2175,POINT (-109.54472 31.344439999999995)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Rail Containers Full,22879,POINT (-82.47889 42.97583)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Truck Containers Full,22955,POINT (-73.44694 44.98639)
Champlain-Rouses Point,New York,712,US-Canada Border,3/1/2019 0:00,Personal Vehicles,65555,POINT (-73.44694 44.98639)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,5928,POINT (-110.93361 31.340279999999996)
Scobey,Montana,3309,US-Canada Border,3/1/2019 0:00,Truck Containers Full,3,POINT (-105.44272 48.80707)
Del Bonita,Montana,3322,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1540,POINT (-112.32481 48.63274)
Bridgewater,Maine,127,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,319,POINT (-67.84262 46.41923)
Santa Teresa,New Mexico,2408,US-Mexico Border,3/1/2019 0:00,Personal Vehicle Passengers,109340,POINT (-106.67903 31.850000000000005)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Buses,916,POINT (-117.05333 32.57333)
San Ysidro,California,2504,US-Mexico Border,3/1/2019 0:00,Buses,3329,POINT (-117.02666999999998 32.54306)
Nogales,Arizona,2604,US-Mexico Border,3/1/2019 0:00,Bus Passengers,17479,POINT (-110.93361 31.340279999999996)
Lukeville,Arizona,2602,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,46128,POINT (-112.81500000000001 31.8825)
Roseau,Minnesota,3426,US-Canada Border,3/1/2019 0:00,Personal Vehicles,2658,POINT (-95.81074 48.77518)
Skagway,Alaska,3103,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,3077,POINT (-135.30656 59.47196999999999)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Trains,28,POINT (-67.42955 45.55984)
Baudette,Minnesota,3424,US-Canada Border,3/1/2019 0:00,Bus Passengers,196,POINT (-94.72512 48.70731)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Bus Passengers,13,POINT (-68.58458 47.26878)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Truck Containers Full,697,POINT (-89.68472000000001 47.96389)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Train Passengers,1099,POINT (-79.05694 43.09444)
Calexico,California,2503,US-Mexico Border,3/1/2019 0:00,Pedestrians,346158,POINT (-115.49806000000001 32.67889)
Massena,New York,704,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,118275,POINT (-74.74 44.98944)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Pedestrians,306812,POINT (-117.05333 32.57333)
Pinecreek,Minnesota,3425,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,14,POINT (-95.81074 48.77518)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,20256,POINT (-115.48433000000001 32.67524)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,63197,POINT (-117.05333 32.57333)
Otay Mesa,California,2506,US-Mexico Border,3/1/2019 0:00,Truck Containers Empty,22225,POINT (-117.05333 32.57333)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,1639,POINT (-109.54472 31.344439999999995)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,30064,POINT (-89.68472000000001 47.96389)
Port Huron,Michigan,3802,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,16839,POINT (-82.47889 42.97583)
Santa Teresa,New Mexico,2408,US-Mexico Border,3/1/2019 0:00,Truck Containers Full,8698,POINT (-106.67903 31.850000000000005)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Rail Containers Empty,682,POINT (-73.44253 44.990010000000005)
Calexico East,California,2507,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,285861,POINT (-115.48433000000001 32.67524)
Detroit,Michigan,3801,US-Canada Border,3/1/2019 0:00,Truck Containers Full,92794,POINT (-83.10222 42.38306000000001)
Jackman,Maine,104,US-Canada Border,3/1/2019 0:00,Buses,8,POINT (-70.255 45.62389)
Tecate,California,2505,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,92015,POINT (-116.62667 32.57722)
Skagway,Alaska,3103,US-Canada Border,3/1/2019 0:00,Personal Vehicles,1411,POINT (-135.30656 59.47196999999999)
Turner,Montana,3306,US-Canada Border,3/1/2019 0:00,Trucks,35,POINT (-108.40599 48.84361)
Fort Kent,Maine,110,US-Canada Border,3/1/2019 0:00,Buses,1,POINT (-68.58458 47.26878)
Porthill,Idaho,3308,US-Canada Border,3/1/2019 0:00,Trucks,310,POINT (-116.49828 48.99282)
Wildhorse,Montana,3323,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,1235,POINT (-109.67761 48.54863)
Bridgewater,Maine,127,US-Canada Border,3/1/2019 0:00,Personal Vehicles,3302,POINT (-67.84262 46.41923)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Trucks,77292,POINT (-79.05694 43.09444)
Sault Sainte Marie,Michigan,3803,US-Canada Border,3/1/2019 0:00,Train Passengers,62,POINT (-84.29889 46.47028)
Eastport,Idaho,3302,US-Canada Border,3/1/2019 0:00,Train Passengers,200,POINT (-116.18027999999998 48.99944)
Douglas,Arizona,2601,US-Mexico Border,3/1/2019 0:00,Personal Vehicles,144173,POINT (-109.54472 31.344439999999995)
Vanceboro,Maine,105,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,12,POINT (-67.42955 45.55984)
Trout River,New York,715,US-Canada Border,3/1/2019 0:00,Personal Vehicles,8961,POINT (-73.44253 44.990010000000005)
Buffalo-Niagara Falls,New York,901,US-Canada Border,3/1/2019 0:00,Personal Vehicle Passengers,754845,POINT (-79.05694 43.09444)
Grand Portage,Minnesota,3613,US-Canada Border,3/1/2019 0:00,Truck Containers Empty,302,POINT (-89.68472000000001 47.96389)
